text,label
contact me on niine zero zero nice to talk to you !!!,1
wake me at 6,0
my-lucky-number-is-7,0
text me 9123456780,1
drop a message at niine zero zero,1
let's meet at 6,0
you can reach me on nien eght sevun,1
LET'S MEET TOMORROW SEE YOU TOMORROW thanks,0
HERE IS MY CONTACT WA.ME/9876543210 asap,1
hey ROOM NUMBER 305,0
connect with me (98765)43210 thanks,1
drop a message at abc at gmail dot com asap,1
bro nice to talk to you,0
PING ME AT 6:30,0
bro call me at 5pm ok,0
MY LUCKY NUMBER IS 7,0
reach me at 8888888888,1
good morning let's catch up asap,0
hey whatsapp me at seven six five four three two one let's meet tomorrow,1
bro movie-at-5:45 asap,0
bro order-id-is-123456,0
CONTACT_ME_ON_TELEGRAM_@USER123,1
i scored 98 marks let's catch up thanks,0
pls i scored 98 marks,0
bro connect_with_me_abc@gmail.com_have_a_great_day,1
pls GOOD MORNING thanks,0
TEXT.ME.SEVVEN.SIX.FIVE.FOUR,1
wake me at 6 let's catch up,0
CONTACT ME ON 7012345678,1
here is my contact telegram @user123 see you soon asap,1
TEXT_ME_SEVEN_SIX_FIVE_FOUR_THREE_TWO_ONE_LET'S_MEET_TOMORROW !!!,1
bro my number is mujhe call karo nine eight seven hello how are you,1
hey contact me on eigt nne seven six five let's meet tomorrow,1
CONTACT ME ON USER123@MAIL.COM asap,1
pls you can reach me on abc@gmail.com hello how are you,1
party at 9 tonight,0
let's_meet_at_6_see_you_tomorrow,0
ping me mera number 9876543210 hai see you soon,1
TEXT_ME_WA.ME/9876543210_WHAT_ARE_YOU_DOING,1
nice to talk to you,0
TODAY IS 10/10/2024,0
train is at 8,0
contact me on seven six five four three two one,1
whatsapp me at nine eight seven six five four three two one zero hello how are you,1
text me at 7,0
ping me abc at gmail dot com good morning,1
let's-meet-tomorrow-talk-later,0
drop.a.message.at.test.at.yahoo.dot.com.good.morning,1
ping me at 6:30 talk later,0
i.scored.98.marks,0
bro DROP_A_MESSAGE_AT_9876543210,1
bus leaves at 6:15,0
TEXT_ME_AT_7,0
drop a message at 98765-43210,1
urgent call me at 5pm see you tomorrow thanks,0
DROP A MESSAGE AT SEVEN SIX FIVE FOUR THREE TWO ONE,1
pls here is my contact +91-98765-43210,1
text-me-+91-98765-43210,1
ping me a b c at g m a i l dot com !!!,1
call me at test at yahoo dot com,1
connect with me contact via whatsapp link wa.me/9876543210 thanks,1
text me at 7,0
bro come.by.7pm,0
text-me-9123456780 thanks,1
YOU CAN REACH ME ON MERA NUMBER 9876543210 HAI LET'S MEET TOMORROW,1
urgent CONNECT WITH ME USER123@MAIL.COM HAVE A GREAT DAY ok,1
contact me on 98765 43210 thanks,1
hey wake me at 6,0
TEXT ME SEVEN SIX FIVE FOUR THREE TWO ONE HAVE A GREAT DAY,1
have a great day !!!,0
pls whatsapp me at 9876543210,1
hey connect with me mera email abc at gmail dot com hai have a great day,1
ping.me.niine.zero.zero !!!,1
urgent train is at 8,0
connect with me eigt nne seven six five what are you doing,1
drop a message at niine zero zero asap,1
TEXT ME HTTPS://T.ME/USER123 asap,1
hey REACH ME AT MERA NUMBER 9876543210 HAI LET'S MEET TOMORROW,1
urgent here is my contact 7012345678,1
bro what are you doing see you tomorrow,0
pls HELLO HOW ARE YOU,0
hey drop a message at hello@outlook.com let's meet tomorrow,1
wake me at 6,0
hey reach me at eigt nne seven six five let's meet tomorrow,1
call me at 5pm,0
hey CALL-ME-AT-MUJHE-CALL-KARO-NINE-EIGHT-SEVEN-LET'S-MEET-TOMORROW !!!,1
ping me test@yahoo.com,1
see.you.at.7:30,0
hey reach me at 8 tonight,0
HELLO HOW ARE YOU !!!,0
meeting at 10am,0
text me at 7 asap,0
wake me at 6,0
my number is seven six five four three two one hello how are you thanks,1
text me hello at outlook dot com,1
WHAT ARE YOU DOING,0
here is my contact sevven six five four hello how are you,1
text me https://t.me/user123 what are you doing,1
urgent ping.me.at.6:30 !!!,0
ping-me-at-6:30,0
MY NUMBER IS HELLO AT OUTLOOK DOT COM,1
hey let's meet tomorrow,0
whatsapp me at eigt nne seven six five,1
bro reach me at 8 tonight thanks,0
pls HAVE A GREAT DAY,0
call me at mera number 9876543210 hai,1
hey my number is 9876543210 what are you doing,1
i scored 98 marks,0
WHATSAPP ME AT NENE EIGT SIX NICE TO TALK TO YOU ok,1
text me abc@gmail.com see you soon ok,1
pls ping me at 6:30,0
pls see.you.soon,0
hey drop a message at seven six five four three two one what are you doing asap,1
connect with me hello@outlook.com,1
reach me at seven six five four three two one thanks,1
nice-to-talk-to-you,0
here.is.my.contact.9876543210,1
text me eigt nne seven six five thanks,1
hey you can reach me on seven six five four three two one,1
hey text me at 7 talk later ok,0
pls MY NUMBER IS TELEGRAM @USER123 ok,1
whatsapp me at eigt nne seven six five,1
meet you at 5pm see you tomorrow !!!,0
urgent i scored 98 marks,0
ping me user123@mail.com,1
urgent ping me at 6:30,0
PING.ME.AT.6:30,0
here is my contact wa.me/9876543210 see you soon asap,1
call me at contact via whatsapp link wa.me/9876543210 !!!,1
here is my contact https://t.me/user123 what are you doing,1
you can reach me on abc at gmail dot com ok,1
hey ping me at 6:30,0
ping-me-at-6:30,0
call at 8 asap,0
bro nice to talk to you,0
reach me at 8 tonight,0
movie at 5:45 asap,0
drop a message at 8888888888 ok,1
pls i scored 98 marks,0
bro ping me a b c at g m a i l dot com,1
hey meeting at 10am ok,0
connect with me eigt nne seven six five hello how are you,1
you can reach me on hello@outlook.com asap,1
hey hello-how-are-you ok,0
text me nine eight seven six five four three two one zero thanks,1
text me at 7,0
have a great day talk later asap,0
have a great day !!!,0
bro drop a message at test at yahoo dot com,1
bro have a great day let's catch up,0
connect with me wa.me/9876543210,1
urgent come by 7pm,0
pls CALL ME AT TELEGRAM @USER123 HAVE A GREAT DAY,1
your otp is 987654 see you tomorrow,0
nice.to.talk.to.you !!!,0
pls CALL_ME_AT_5PM,0
hey CALL ME AT +91 9876543210,1
bro connect_with_me_user123@mail.com,1
HELLO HOW ARE YOU,0
CONNECT WITH ME +91 9876543210,1
ORDER ID IS 123456 asap,0
your otp is 987654 talk later,0
reach me at 98765-43210 nice to talk to you asap,1
ping-me-(98765)43210 asap,1
bro connect.with.me.wa.me/9876543210.hello.how.are.you ok,1
I SCORED 98 MARKS LET'S CATCH UP,0
nice.to.talk.to.you,0
drop a message at a b c at g m a i l dot com,1
DROP A MESSAGE AT SEVEN SIX FIVE FOUR THREE TWO ONE SEE YOU SOON,1
bro reach me at 98765 43210 let's meet tomorrow asap,1
here is my contact user123@mail.com good morning !!!,1
order id is 123456,0
urgent my number is mujhe call karo nine eight seven,1
hey have a great day,0
let's meet tomorrow talk later thanks,0
urgent ping.me.bhai.whatsapp.karo.9876543210.pe,1
call me at nien eght sevun,1
reach me at 9123456780,1
come by 7pm,0
ping me at 6:30 see you tomorrow,0
meet you at 5pm talk later,0
ping me at 6:30,0
meeting-at-10am,0
COME BY 7PM LET'S CATCH UP,0
hey ping me at 6:30,0
hey call me at abc@gmail.com,1
urgent whatsapp.me.at.hello.at.outlook.dot.com,1
my number is mera email abc at gmail dot com hai,1
contact me on niine zero zero !!!,1
pls i scored 98 marks,0
price_is_999_rupees,0
you can reach me on 7012345678 what are you doing,1
i scored 98 marks !!!,0
have a great day,0
urgent my number is hello at outlook dot com,1
urgent whatsapp me at mujhe call karo nine eight seven asap,1
